1.1036221	-0.33506578	2.6684117
1.0761715	-0.031946667	2.611259
1.0445477	0.2644389	2.5423257
1.0765592	0.39864644	2.478873
0.8809049	0.14906196	2.4916766
0.68426526	0.024251772	2.3856728
0.64397925	0.18864095	2.2048445
0.6443763	0.21780881	2.1968162
1.2356118	0.20171942	2.6645188
1.4156396	0.18230471	2.7734113
1.4890324	0.36647478	2.6910937
1.477081	0.37843865	2.6854625
1.016707	-0.33629265	2.6204472
0.937706	-0.68176275	2.6116772
0.85097486	-1.1374464	2.7007358
0.84305906	-1.2436907	2.6405237
1.1630353	-0.32599476	2.6498914
1.2223065	-0.6646964	2.861612
1.267368	-1.0590314	3.1645548
1.3306472	-1.1278282	3.1466877
1.0532738	0.19132107	2.561708
0.6494847	0.28542176	2.1589255
0.6989114	0.19115955	2.205125
1.478988	0.43304065	2.6388094
1.449407	0.4274006	2.6690001
